SlopeFEM_2D 计算结果导出
导出时间:,2025-06-10 22:37:13

目标点位移结果
点名称,水平位移 (m),竖直位移 (m)
A,-3.181601e-03,-1.871507e-03
B,1.556304e-02,-1.455115e-03

节点位移结果
节点ID,X坐标 (m),Y坐标 (m),水平位移 (m),竖直位移 (m)
299,-32.710000,-20.018382,-5.176587e-03,2.964023e-04
300,-19.371419,-19.544399,-1.116366e-02,-3.021749e-03

单元应力结果
单元ID,冯·米塞斯应力 (Pa)
0,4.239649e+04
1,3.230146e+04
2,1.034266e+04
3,9.985728e+04
4,1.995873e+04
5,1.120867e+04
6,1.338150e+05
7,8.038310e+04
8,2.136088e+04
9,9.167097e+04
10,1.063673e+04
11,1.640613e+05
12,2.339293e+04
13,8.573287e+04
14,4.900639e+04
15,3.122155e+04
16,2.772597e+04
17,1.188740e+05
18,1.104269e+05
19,2.729986e+04
20,1.119236e+05
21,6.869660e+04
22,1.899367e+04
23,3.209277e+04
24,3.888218e+04
25,2.526886e+04
26,2.296792e+04
27,1.405288e+05
28,1.417144e+05
29,4.030774e+04
30,2.424421e+04
31,5.001165e+04
32,3.332049e+04
33,1.537999e+05
34,1.201048e+05
35,1.020084e+05
36,1.497709e+05
37,4.219233e+04
38,7.170404e+04
39,2.072743e+04
40,1.280623e+04
41,9.189917e+04
42,5.955941e+04
43,1.378169e+05
44,1.262496e+05
45,1.265780e+05
46,1.417128e+05
47,5.340227e+04
48,1.269701e+05
49,3.320359e+04
50,9.477956e+04
51,2.113365e+04
52,2.726408e+04
53,8.205849e+04
54,1.112584e+05
55,6.329949e+04
56,4.559499e+04
57,1.776069e+04
58,2.821269e+04
59,1.036219e+04
60,1.241962e+05
61,1.437774e+05
62,1.218472e+05
63,1.373366e+05
64,1.038144e+05
65,1.021706e+05
66,1.429523e+05
67,1.283658e+05
68,2.619938e+04
69,3.420065e+04
70,1.082418e+05
71,1.190073e+05
72,4.033955e+04
73,2.380981e+04
74,9.140122e+03
75,1.487848e+04
76,2.159505e+04
77,3.697733e+04
78,1.325285e+04
79,1.560738e+04
80,1.712820e+04
81,1.047747e+04
82,2.385990e+04
83,6.041067e+04
84,2.462153e+04
85,1.730726e+04
86,1.692462e+04
87,1.999238e+04
88,2.326693e+04
89,2.028610e+04
90,9.926281e+03
91,2.126751e+04
92,1.902650e+04
93,1.935547e+04
94,1.682016e+04
95,1.291838e+04
96,1.922804e+04
97,2.123168e+04
98,1.931281e+04
99,1.899139e+04
100,2.243224e+04
101,1.836157e+04
102,1.784943e+04
103,1.936089e+04
104,2.110714e+04
105,2.233255e+04
106,1.906443e+04
107,1.992717e+04
108,1.905204e+04
109,1.314501e+04
110,1.819007e+04
111,1.473016e+04
112,2.342153e+04
113,1.447193e+04
114,1.707758e+04
115,2.090065e+04
116,2.264493e+04
117,8.004971e+03
118,1.086348e+04
